Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Length µm	Circularity	Solidity	Max diameter µm	Min diameter µm	Hematoxylin: Mean	Hematoxylin: Median	Hematoxylin: Min	Hematoxylin: Max	Hematoxylin: Std.Dev.	Eosin: Mean	Eosin: Median	Eosin: Min	Eosin: Max	Eosin: Std.Dev.
kwa-4 肺_Default_Extended.tif	3e24719d-442d-4ec9-84ca-5a69279a4d00	Detection			Annotation	Polygon	131.08	88.42	29.25	27	0.5042	0.9141	9.434	4.9923	0.3986	0.3943	0.1978	0.6588	0.1091	0.2483	0.24	0.0614	0.7562	0.1146
kwa-4 肺_Default_Extended.tif	598d66d9-734c-4db5-804d-0aa4f760bf7f	Detection			Annotation	Polygon	117.67	90.17	55.5	42	0.3954	0.9006	15.0083	5.5578	0.519	0.5271	0.1519	0.9496	0.1567	0.33	0.2129	-0.0529	1.6474	0.3495
kwa-4 肺_Default_Extended.tif	1cd08a93-f23a-4ebc-aeb4-5d886ccfab64	Detection			Annotation	Polygon	168.66	90.87	55.5	37	0.5094	0.9006	11.0602	7.7476	0.3329	0.3345	0.131	0.537	0.0709	0.1998	0.1961	0.0419	0.3484	0.0531
kwa-4 肺_Default_Extended.tif	bf2d506f-404d-4694-9e1b-ada1cea8471e	Detection			Annotation	Polygon	178.82	94.95	61	38	0.5309	0.9242	12.0934	7	0.437	0.4157	0.2747	0.7833	0.106	0.3255	0.2799	0.1476	0.9844	0.1605
kwa-4 肺_Default_Extended.tif	8abfa2ff-ee54-4d22-bba0-def68794c002	Detection			Annotation	Polygon	229.79	96.46	69.75	40	0.5478	0.9442	14.3178	6	0.4217	0.4247	0.2125	0.6974	0.0964	0.3077	0.23	0.0999	1.6556	0.2365
kwa-4 肺_Default_Extended.tif	03e48a03-319a-4489-a41d-18e9d8e5103d	Detection			Annotation	Polygon	119.42	96.8	53.75	36	0.5212	0.9053	12.53	6.5	0.5087	0.5217	0.2538	0.8446	0.1346	0.244	0.1937	-0.0183	1.4693	0.1981
kwa-4 肺_Default_Extended.tif	81fa0a16-e9ed-4db9-9dbe-a1bfcac742c4	Detection			Annotation	Polygon	188.85	98.38	70.5	42	0.5022	0.9231	13.4629	7.2421	0.4067	0.3916	0.2066	0.8309	0.1153	0.2722	0.211	0.107	1.6068	0.2126
kwa-4 肺_Default_Extended.tif	0d4f75d0-3049-4617-8760-9eef9045783a	Detection			Annotation	Polygon	199.94	99	76.5	40	0.6008	0.9358	12.0934	8.4477	0.5192	0.5002	0.2567	0.9115	0.1216	0.416	0.3008	0.1825	1.5074	0.283
kwa-4 肺_Default_Extended.tif	9ffbc641-9da2-46fb-bb3b-ea3e5dccc4c8	Detection			Annotation	Polygon	124.42	101.15	85.5	48	0.4663	0.9036	16.14	8.0498	0.5473	0.5465	0.2851	0.8993	0.1098	0.436	0.3241	0.1051	1.5588	0.2978
kwa-4 肺_Default_Extended.tif	912e2dc0-13b5-4871-9d37-d7804c557922	Detection			Annotation	Polygon	215.42	103.22	101.25	46	0.6013	0.9485	12.9234	10.9567	0.4316	0.427	0.2197	0.6838	0.0709	0.2439	0.23	0.0903	0.8003	0.0936
kwa-4 肺_Default_Extended.tif	210e7ead-2f59-4d18-a465-7a3635c87ba5	Detection			Annotation	Polygon	159.76	112.09	30.5	26	0.567	0.9313	8.9443	4.9015	0.5608	0.5491	0.2256	0.9683	0.1923	0.7193	0.5912	0.1935	1.6973	0.4411
