Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area µm^2	Nucleus: Length µm	Nucleus: Circularity	Nucleus: Solidity	Nucleus: Max diameter µm	Nucleus: Min diameter µm	Cell: Area µm^2	Cell: Length µm	Cell: Circularity	Cell: Solidity	Cell: Max diameter µm	Cell: Min diameter µm	Nucleus/Cell area ratio	Nucleus: DAPI: Mean	Nucleus: DAPI: Median	Nucleus: DAPI: Min	Nucleus: DAPI: Max	Nucleus: DAPI: Std.Dev.	Nucleus: cytokeratin: Mean	Nucleus: cytokeratin: Median	Nucleus: cytokeratin: Min	Nucleus: cytokeratin: Max	Nucleus: cytokeratin: Std.Dev.	Nucleus: fibronectin: Mean	Nucleus: fibronectin: Median	Nucleus: fibronectin: Min	Nucleus: fibronectin: Max	Nucleus: fibronectin: Std.Dev.	Nucleus: pNDRG1: Mean	Nucleus: pNDRG1: Median	Nucleus: pNDRG1: Min	Nucleus: pNDRG1: Max	Nucleus: pNDRG1: Std.Dev.	Cytoplasm: DAPI: Mean	Cytoplasm: DAPI: Median	Cytoplasm: DAPI: Min	Cytoplasm: DAPI: Max	Cytoplasm: DAPI: Std.Dev.	Cytoplasm: cytokeratin: Mean	Cytoplasm: cytokeratin: Median	Cytoplasm: cytokeratin: Min	Cytoplasm: cytokeratin: Max	Cytoplasm: cytokeratin: Std.Dev.	Cytoplasm: fibronectin: Mean	Cytoplasm: fibronectin: Median	Cytoplasm: fibronectin: Min	Cytoplasm: fibronectin: Max	Cytoplasm: fibronectin: Std.Dev.	Cytoplasm: pNDRG1: Mean	Cytoplasm: pNDRG1: Median	Cytoplasm: pNDRG1: Min	Cytoplasm: pNDRG1: Max	Cytoplasm: pNDRG1: Std.Dev.	Membrane: DAPI: Mean	Membrane: DAPI: Median	Membrane: DAPI: Min	Membrane: DAPI: Max	Membrane: DAPI: Std.Dev.	Membrane: cytokeratin: Mean	Membrane: cytokeratin: Median	Membrane: cytokeratin: Min	Membrane: cytokeratin: Max	Membrane: cytokeratin: Std.Dev.	Membrane: fibronectin: Mean	Membrane: fibronectin: Median	Membrane: fibronectin: Min	Membrane: fibronectin: Max	Membrane: fibronectin: Std.Dev.	Membrane: pNDRG1: Mean	Membrane: pNDRG1: Median	Membrane: pNDRG1: Min	Membrane: pNDRG1: Max	Membrane: pNDRG1: Std.Dev.	Cell: DAPI: Mean	Cell: DAPI: Median	Cell: DAPI: Min	Cell: DAPI: Max	Cell: DAPI: Std.Dev.	Cell: cytokeratin: Mean	Cell: cytokeratin: Median	Cell: cytokeratin: Min	Cell: cytokeratin: Max	Cell: cytokeratin: Std.Dev.	Cell: fibronectin: Mean	Cell: fibronectin: Median	Cell: fibronectin: Min	Cell: fibronectin: Max	Cell: fibronectin: Std.Dev.	Cell: pNDRG1: Mean	Cell: pNDRG1: Median	Cell: pNDRG1: Min	Cell: pNDRG1: Max	Cell: pNDRG1: Std.Dev.
AsPC LZ #1 GEM  Ker488 FN 568 pN 647 _01.vsi - 20x	3f622a0b-ddda-48c4-b33b-4375f88feee5	Cell	NA	NA	Annotation (tissue)	Polygon	8059	603.76	105.2	41.9197	0.7523	0.9161	14.519	9.6014	250.1888	74.3904	0.5681	0.7834	24.4863	15.7329	0.4205	2805.9397	2593	622	5679	1057.1422	2231.1401	2219	529	4085	736.9902	3242.5667	3263	1408	4990	653.2916	244.2231	224	0	1022	189.1399	900.2052	849	0	2410	440.6742	2465.77	2589	0	6032	1310.8953	3115.0813	3465	115	4945	1034.8739	237.0921	202	0	1007	197.6195	1231.101	807.5	0	4642	1123.6561	2064.5337	1790.5	0	6032	1302.807	2675.4905	2837.5	115	4663	1014.5411	224.8654	206.5	0	905	183.5182	1707.2743	1344	0	5679	1213.2585	2366.4055	2362	0	6032	1110.7327	3169.0706	3378.5	115	4990	895.4532	240.112	213	0	1022	194.0656
AsPC LZ #1 GEM  Ker488 FN 568 pN 647 _01.vsi - 20x	704fc9cf-3da7-497d-8f6e-e450c0adb3c3	Cell	NA	NA	Annotation (tissue)	Polygon	8159.8	607	120.8757	40.1717	0.9413	1	14.4375	11.4462	309.3581	66.5413	0.878	0.9811	24.3212	17.6477	0.3907	1965.3132	1789	321	4285	789.509	1379.736	1367	231	2582	357.7502	2326.1165	2332	961	3633	410.3772	213.6143	177	0	967	180.2491	763.9967	702	0	4141	451.4638	1597.9308	1583	480	3063	404.0386	2212.1147	2106	667	3878	577.7308	210.6332	178	0	1021	173.419	963.4745	640	0	4141	911.9113	1773.0396	1777	696	2757	374.7842	2423.5649	2418	1302	3878	541.7206	231.0734	202	0	848	181.2205	1233.7422	988.5	0	4285	843.4868	1512.611	1489	231	3063	400.9385	2256.6924	2249	667	3878	521.6595	211.7989	177	0	1021	176.0971
AsPC LZ #1 GEM  Ker488 FN 568 pN 647 _01.vsi - 20x	63287809-4287-49e4-8cb5-5092ea2f48e8	Cell	NA	NA	Annotation (tissue)	Polygon	8095.8	608.6	183.9985	48.9186	0.9662	1	16.8058	13.9053	454.7493	77.8932	0.9419	0.9865	26.2385	22.7032	0.4046	2715.9126	2702	833	4853	892.8649	1666.0096	1704	52	3403	470.8563	2440.7986	2455	815	3995	551.1479	230.0726	194	0	979	184.2313	877.158	812	0	2845	424.1049	1617.5786	1724	0	3428	739.3104	2877.7961	2813	732	8534	1096.4136	245	209	0	1091	197.5908	779.5687	690	0	2566	477.6443	1615.3555	1721	146	3176	705.0327	3354.365	3017	790	7697	1442.6792	262.7867	236	0	848	204.9513	1622.0396	1230	0	4853	1115.7145	1637.1981	1713	0	3428	644.5596	2700.7678	2630	732	8534	940.253	238.9529	202	0	1091	192.4089
AsPC LZ #1 GEM  Ker488 FN 568 pN 647 _01.vsi - 20x	1157e404-ab6b-4cb8-a172-820b08d966b5	Cell	NA	NA	Annotation (tissue)	Polygon	8068.9	611.8	96.1647	35.7265	0.9468	0.9977	12.6623	9.3307	229.5387	59.3437	0.8191	0.9717	21.6538	13.7771	0.4189	1942.0348	1931	760	3276	471.6135	2290.7417	2284	1163	3455	377.4574	2722.9241	2704	1265	4076	454.8883	297.3996	267	0	1258	218.9197	1147.6409	1074	0	3082	551.6037	2455.9119	2455	1174	3696	426.3579	3192.8828	3187	1856	4521	412.3062	280.1389	254	0	1100	209.6561	1258.0839	1224	72	2885	674.2837	2381.6387	2361	1174	3489	510.2274	3163.4839	3153	2084	4521	448.7807	294.2065	263	0	882	206.5258	1479.901	1484.5	0	3276	650.7958	2386.8284	2377	1163	3696	414.6197	2996.3198	3008	1265	4521	488.9973	287.3583	260.5	0	1258	213.7001
AsPC LZ #1 GEM  Ker488 FN 568 pN 647 _01.vsi - 20x	f4ab6e22-c0c6-457a-b101-9375f0004d0e	Cell	NA	NA	Annotation (tissue)	Polygon	7997.9	616.58	71.2526	30.5258	0.9609	1	11.0122	8.6488	217.267	54.0439	0.9348	0.987	18.9521	15.253	0.3279	3003.4839	2919	781	5659	938.0367	5673.6938	5522	1181	9365	1522.8335	4610.2012	4556	1758	7541	979.2658	170.4329	144	0	885	141.1121	1239.4644	909	0	4301	1026.3685	3837.7869	3855	0	9861	2794.7944	3362.9539	3647	0	7784	1988.5034	162.072	134	0	853	142.6129	1389.4238	1126	0	4098	1167.6215	3691.616	3660	0	9764	2792.1855	3413.3311	3750	0	7768	2132.4182	153.7483	138	0	853	143.3176	1822.6534	1794	0	5659	1297.9191	4444.7422	4901	0	9861	2596.0625	3775.2969	4080	0	7784	1818.6323	164.8362	137	0	885	142.1389
AsPC LZ #1 GEM  Ker488 FN 568 pN 647 _01.vsi - 20x	3eac2d1d-cde4-4a92-9d94-a70e7553116a	Cell	NA	NA	Annotation (tissue)	Polygon	8169.3	618.52	140.6783	42.5107	0.9782	1	14.5249	12.3893	279.3225	64.0506	0.8556	0.9744	22.5993	16.0094	0.5036	4310.6226	4147	1030	8200	1445.4626	1619.3966	1610	419	3344	427.64	2395.7083	2366.5	796	4164	538.0638	217.8205	188	0	1023	173.8647	1642.8827000000001	1499	0	4145	863.0675	2004.0364	2010	696	3339	382.7581	3132.4331	2950	1709	5486	690.3514	221.1355	193	0	1012	180.8897	1805.0115	1595.5	140	4145	1006.8944	1877.3448	1887.5	696	2781	364.3356	2979.615	2831	1423	4996	651.5792	233.9368	220	0	832	188.5108	2993.2078	2742	0	8200	1790.11	1809.3439	1825	419	3344	449.2748	2759.5264	2680	796	5486	719.3554	219.4576	190	0	1023	177.3432
AsPC LZ #1 GEM  Ker488 FN 568 pN 647 _01.vsi - 20x	b6fa6e78-da8a-464d-add1-6aac3df99a9c	Cell	NA	NA	Annotation (tissue)	Polygon	8013	616.66	88.8839	34.1299	0.9589	0.9989	12.0062	9.6149	213.3757	54.9108	0.8893	0.9877	19.1994	15.418	0.4166	4151.4556	4094	1418	7280	1447.4117	4684.7461	4486	1418	10058	1793.4287	4380.3965	4252	1795	8616	1268.6752	185.3294	151	0	1002	165.3578	1081.1487	884	0	5069	770.4231	5263.7236	5466	454	10821	2224.9709	4910.8052	5006	1536	9260	1510.0674	178.4729	144	0	885	156.1751	1695.255	1032	0	7280	1813.2969	3926.8726	3108	454	9440	2392.0513	3995.3623	3586	1547	8056	1741.1626	177.0067	144	0	607	127.8322	2353.4333	1785.5	0	7280	1871.8234	5023.8047	5035	454	10821	2076.3838	4691.0127	4705	1536	9260	1438.6554	181.3141	146	0	1002	160.0399
AsPC LZ #1 GEM  Ker488 FN 568 pN 647 _01.vsi - 20x	dd5bbc4a-71b0-4aa6-8d86-f16336133e8d	Cell	NA	NA	Annotation (tissue)	Polygon	8032.4	617.45	80.6674	32.1766	0.9791	0.9997	10.871	9.6907	223.6907	57.5428	0.8489	0.9694	20.667	15.1201	0.3606	5113.3486	4996.5	1480	8520	1537.3918	2464.6956	2229.5	576	5125	1009.4052	3115.4067	2966.5	1532	5471	730.9011	178.0907	148	0	845	154.6945	1496.5322	1158	0	4588	1004.3654	3810.0015	3813	32	8210	1712.3781	4246.0439	4312	1703	7428	1079.6489	177.1911	148.5	0	790	149.2849	1745.2292	1014	0	5626	1437.6914	3620.4778	3526	725	8210	1951.5854	3945.2229	3798	1881	7086	1321.4414	205.3758	191	0	715	164.1882	2802.5107	2186.5	0	8520	2125.1814	3324.2314	3084	32	8210	1630.427	3837.7876	3783.5	1532	7428	1110.1086	177.5159	148	0	845	151.2251
AsPC LZ #1 GEM  Ker488 FN 568 pN 647 _01.vsi - 20x	c7b03ac1-720a-45fc-845d-410ed93dc970	Cell	NA	NA	Annotation (tissue)	Polygon	8103.3	620.67	32.065	20.6671	0.9434	1	7.4452	5.4874	126.2336	45.0864	0.7804	0.9944	17.3951	8.5119	0.254	1617.7401	1623.5	712	2767	330.2116	1601.9769	1593.5	510	2580	324.3802	2704.1086	2689.5	1395	3763	329.0314	293.3092	262.5	0	975	207.0865	1152.3721	1133	0	2358	391.5841	1689.3436	1692	606	2684	370.8741	2778.6521	2775	1663	4106	327.547	288.5192	258	0	1033	211.2643	1254.8334	1208	191	2358	469.9065	1683.3	1648	637	2663	428.2372	2841.0417	2826	2069	3897	338.7162	270.35	240.5	0	1010	215.4754	1268.8099	1268	0	2767	427.5717	1667.484	1665	510	2684	361.6621	2760.0007	2760	1395	4106	329.371	289.7177	260	0	1033	210.1522
AsPC LZ #1 GEM  Ker488 FN 568 pN 647 _01.vsi - 20x	076d9a2b-c01c-45cb-b15b-3fc015b8c3b5	Cell	NA	NA	Annotation (tissue)	Polygon	7976.9	618.17	147.668	47.4905	0.8228	0.9977	19.3423	9.4988	320.1133	70.5245	0.8088	0.9757	27.1861	15.6083	0.4613	6711.7646	6877.5	1717	11510	2335.0242	4255.7441	4495.5	281	7405	1204.6423	5109.7378	5222.5	1748	7634	996.4142	172.811	143	0	1015	149.6192	1529.8523	840	0	9201	1627.5892	1933.9033	475	0	8277	2426.6497	2262.98	1498	0	6592	1807.4276	158.938	134	0	899	137.2498	2874.5229	1354	0	9201	2945.7976	2501.8171	2918	0	7878	2326.6833	2848.4011	3653	65	6784	2163.5747	178.6751	152	0	706	159.1064	3928.7917	3382	0	11510	3259.4207	3008.7874	3516	0	8277	2274.6326	3580.8716	4269	0	7634	2056.4409	165.3604	138	0	1015	143.2526
